nodes, digits, seconds, instances, acc
101,0,0.005488777777777787,20,0.9769
101,3,0.005800388888888909,20,0.9227
101,5,0.0059143333333333175,20,0.918
101,4,0.006096388888888946,20,0.9383
101,8,0.005916388888888951,20,0.9094
151,0,0.007390222222222274,20,0.9766
151,4,0.007406777777777738,20,0.9545
151,3,0.008120999999999996,20,0.9207
151,5,0.007566111111111089,20,0.9289
151,8,0.007614888888888875,20,0.9176
201,0,0.00552122222222214,20,0.9783
201,3,0.00552238888888892,20,0.9212
201,5,0.005509166666666652,20,0.9307
201,4,0.005470333333333343,20,0.9538
201,8,0.00578738888888888,20,0.9211
251,0,0.00526411111111116,20,0.9798
251,4,0.00531861111111118,20,0.9585
251,5,0.005649222222222194,20,0.934
251,3,0.005585277777777768,20,0.9272
251,8,0.005199555555555587,20,0.9194
301,0,0.007318166666666675,20,0.9803
301,4,0.005867166666666683,20,0.9598
301,5,0.006071333333333367,20,0.9324
301,8,0.005505055555555509,20,0.9199
301,3,0.0071031111111111095,20,0.9341
351,0,0.0056153888888888686,20,0.981
351,4,0.0060655000000000075,20,0.9615
351,8,0.0054493333333332445,20,0.9205
351,5,0.006019611111111144,20,0.937
351,3,0.006878722222222213,20,0.936
401,0,0.007799722222222287,20,0.9814
401,4,0.00821233333333329,20,0.9614
401,8,0.007845999999999971,20,0.9196
401,5,0.007954166666666608,20,0.9412
401,3,0.008057166666666622,20,0.9362
451,0,0.005567222222222328,20,0.9819
451,4,0.005914055555555514,20,0.9625
451,8,0.0059605000000002815,20,0.9241
451,5,0.007542611111110986,20,0.9429
451,3,0.005375055555555373,20,0.9337
501,0,0.007911388888888994,20,0.9825
501,4,0.00853638888888887,20,0.9642
501,8,0.00828494444444441,20,0.9255
501,3,0.007980111111111002,20,0.9367
501,5,0.008079166666666785,20,0.9452
551,0,0.005457999999999963,20,0.9835
551,4,0.00590377777777773,20,0.962
551,8,0.0058856666666668505,20,0.9302
551,5,0.005343722222222149,20,0.9469
551,3,0.006161333333333364,20,0.9378
601,0,0.005429555555555539,20,0.9837
601,4,0.006333833333333199,20,0.9642
601,8,0.0056888333333333894,20,0.9332
601,5,0.006085777777777758,20,0.9489
601,3,0.006399111111110923,20,0.937
651,0,0.007323055555555581,20,0.9838
651,8,0.007862166666666849,20,0.9326
651,4,0.008150500000000123,20,0.9663
651,5,0.007885000000000067,20,0.9503
651,3,0.009258388888888833,20,0.9384
701,0,0.0056888888888888545,20,0.9839
701,4,0.005506666666666721,20,0.9676
701,8,0.006747444444444491,20,0.9342
701,5,0.005534944444444406,20,0.9515
701,3,0.005878500000000021,20,0.9396
751,0,0.005371444444444447,20,0.9839
751,4,0.006054888888888943,20,0.9684
751,5,0.005545833333333385,20,0.9518
751,8,0.005950111111110928,20,0.935
751,3,0.005427055555555387,20,0.943
801,0,0.007310944444444356,20,0.9837
801,4,0.007272888888889106,20,0.9687
801,8,0.007568055555555533,20,0.9354
801,5,0.008095166666666653,20,0.9531
801,3,0.007987333333333298,20,0.9462
851,0,0.008760499999999973,20,0.9856
851,4,0.0075380555555554845,20,0.9694
851,5,0.005763500000000082,20,0.9539
851,8,0.0060996111111109525,20,0.9351
851,3,0.00612166666666668,20,0.9476
901,0,0.005787444444444419,20,0.9855
901,4,0.00760794444444457,20,0.9699
901,5,0.005914722222222323,20,0.9549
901,8,0.005622611111111286,20,0.936
901,3,0.006979833333333346,20,0.9486
951,0,0.005670666666666552,20,0.9859
951,4,0.007082944444444412,20,0.9702
951,5,0.0070515555555555765,20,0.9563
951,3,0.007113777777777713,20,0.9494
951,8,0.00863922222222212,20,0.9357
1001,0,0.005864666666666925,20,0.986
1001,4,0.006164500000000029,20,0.9705
1001,5,0.006331499999999737,20,0.9567
1001,3,0.005727611111111012,20,0.9495
1001,8,0.00686005555555575,20,0.9362
